,Tipo de Empresa,Mercado,Edad Empresa,Rol,Fundador,% en Desarrollo,% en Gerencia de proyectos,% liderazgo técnico,% Gerencia de ingeniería,Experiencia en rol actual,Experiencia en desarrollo de software,Lenguaje más usado,Otro lenguaje ,Tipo de relación laboral,Modo de trabajo,Preferencias de modo,Tipo de titulo,PRE-grado relacionado Ing,POST-grado relacionado a Ing,Clases de programación en la universidad,Max Titulo,Bootcamp,Url bootcamp,Nivel de Ingles,Moneda de Pago,Remuneración Anual,Remuneración anual adicional,Remuneración Anual anterior,Pago Seguro de Salud,Pago Seguridad Social,Acciones dentro de la empresa,Total acciones,Precio acciones,Freelancer,Ingresos freelancer,Salario Justo,Web de trabajo,Ciudad Residencia,Origen,Año de Nacimiento,Cnt Hijos,Genero,Minoría racial o étnica,Horas de trabajo,Máx % Dev,Máx % I.M,Máx % Tech L,Máx % PM,Rol principal,Ingreso en dólares,Nivel de ingles,Ingreso en pesos,Order by Exp,count,Origen 2,Nacionalidad
0,,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Frontend Engineer,no,80 - 90%,10 - 20%,50 - 60%,20 - 30%,5 - 10 años,5 - 10 años,Javascript,"JavaScript, HTML / CSS, TypeScript, Rust, Swift, WebAssembly",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (tenia oficina, pero podia trabajar desde casa cuando quisiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,72000000.0,12000000,31200000,mi empleador,mi empleador,no,,,si,0,no,https://linkedin.com,Medellin,Colombia,1986,0,él,no,,90,30,60,20,Desarrollo,19459.5,Intermedio,72000150.0,5,1,Colombia,Colombia
1,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,5 - 10,Frontend Developer,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,No respondio,"HTML / CSS, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,,trabajo flexible,universitario,no,no,si,pregrado,No,,3,pesos,43200000.0,0,24000000,mi empleador,mi empleador,no,,,no,3000000,si,https://www.linkedin.com/,Barranquilla,Colombia,1994,0,él,no,,80,0,0,0,Desarrollo,11675.7,Avanzado,43200090.0,4,1,Colombia,Colombia
2,Extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Engineer,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,5 - 10 años,5 - 10 años,Java,"JavaScript, HTML / CSS, TypeScript",contrato a termino indefinido,presencial (ocupaba mas del 70% de su tiempo en una oficina),trabajo remoto,universitario,si,no,no,pregrado,No,,2,pesos,102000000.0,20000000,70000000,mi empleador,mi empleador,no,,,no,0,si,https://linkedin.com,Bogota,Colombia,1992,0,él,no,,80,0,20,0,Desarrollo,27567.6,Intermedio,102000120.0,5,1,Colombia,Colombia
3,,consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador de Software,no,80 - 90%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,Ruby,Ruby,contrato a termino indefinido,presencial (ocupaba mas del 70% de su tiempo en una oficina),trabajo flexible,universitario,si,si,si,pregrado,No,,3,pesos,62400000.0,0,0,mi empleador,mi empleador,no,,,no,0,si,https://linkedin.com,Barranquilla,Colombia,1989,0,él,no,,90,0,10,10,Desarrollo,16864.9,Avanzado,62400130.00000001,5,1,Colombia,Colombia
4,Extranjera,consultoría y servicios de desarrollo de software a la medida,menos de 1,[redactado],no,10 - 20%,0 - 10%,30 - 40%,40 - 50%,menos de 1 año,3 - 5 años,No respondio,"Python, PHP",contrato a termino indefinido,,trabajo flexible,universitario,si,no,si,pregrado,Sí,https://www.freecodecamp.org/,2,pesos,51000000.0,12000000,25200000,yo,yo,no,,,no,0,si,http://colombia-dev.slack.com,Pereira,Colombia,1990,0,él,no,,20,50,40,10,Gerencia de Ingenieria,13783.8,Intermedio,51000060.0,4,1,Colombia,Colombia
5,Extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Senior Software Engineer,no,60 - 70%,0 - 10%,0 - 10%,0 - 10%,2+ años,5 - 10 años,Go,"JavaScript, Python, Ruby, Shell",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 70% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,3,pesos,140000000.0,360000000,78000000,mi empleador,mi empleador,si - rsus,200.0,80.0,no,0,si,https://greenhouse.com,Bogota,Colombia,1991,0,él,no,,70,10,10,10,Desarrollo,37837.8,Avanzado,139999860.0,5,1,Colombia,Colombia
6,Extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Web Developer,no,90 - 100%,no tengo responsabilidades de este tipo,50 - 60%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,Typescript,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,3,pesos,90000000.0,15000000,35000000,mi empleador,mi empleador,no,,,no,0,no,http://linkedin.com,Medellin,Colombia,1990,0,él,no,,100,0,60,0,Desarrollo,24324.3,Avanzado,89999910.0,5,1,Colombia,Colombia
7,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,menos de 1,iOS Developer,si,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Swift,Java,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,120000000.0,1000000,96000000,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Medellin,Colombia,1989,0,él,no,,90,0,0,0,Desarrollo,32432.4,Intermedio,119999880.0,4,1,Colombia,Colombia
8,"Colombiana, Mer EEUU","servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Backend Engineer,no,80 - 90%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,2+ años,3 - 5 años,Html / css,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,45000000.0,3750000,24000000,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Medellin,Colombia,1994,0,él,no,,90,0,10,10,Desarrollo,12162.2,Intermedio,45000140.0,4,1,Colombia,Colombia
9,"Colombiana, Mer Local","servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,No especificado,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2+ años,2+ años,Ruby,"JavaScript, HTML / CSS",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,,1,pesos,36000000.0,0,1500000,mi empleador,mi empleador,si - stock options,1.0,,no,0,no,,Bogota,Colombia,1995,0,él,no,,100,0,0,0,Desarrollo,9729.7,Básico,35999890.0,3,1,Colombia,Colombia
10,Extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Software Architect,no,70 - 80%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,10 - 15 años,10 - 15 años,Typescript,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,ningúno,no,no,si,bachiller,No,,3,pesos,169261632.0,14105136,105231230,mi empleador,mi empleador,no,,,no,0,si,,Medellin,Colombia,1989,3,él,no,,80,0,20,10,Desarrollo,45746.4,Avanzado,169261680.0,6,1,Colombia,Colombia
11,"Colombiana, Mer Latam","servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,desarrollador front-end,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,1+ año,Html / css,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,1,pesos,24000000.0,2000000,3000000,mi empleador,mi empleador,no,,,no,0,no,http://linkedin.com,Medellin,Colombia,1988,0,él,no,,100,0,0,0,Desarrollo,6486.5,Básico,24000050.0,2,1,Colombia,Colombia
12,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,más de 10,Sr Technical Consultant & Tech Lead,no,30 - 40%,10 - 20%,20 - 30%,0 - 10%,3 - 5 años,5 - 10 años,Javascript,"ninguno,  por que soy manager 😭",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,,3,pesos,133800000.0,16725000,81600000,mi empleador,mi empleador,no,,,no,0,si,http://www.linkedin.com,Bogota,Colombia,1989,0,él,no,,40,10,30,20,Sin Clasificar,36162.2,Avanzado,133800139.99999999,5,1,Colombia,Colombia
13,Freelancer,soy independiente,soy independiente,Desarrollador senior,no,90 - 100%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,10 - 15 años,10 - 15 años,Typescript,Python,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,,1,pesos,140000000.0,15000000,133000000,yo,yo,no,,,no,0,no,,Bogota,Colombia,1984,2,él,no,,100,0,20,10,Desarrollo,37837.8,Básico,139999860.0,6,1,Colombia,Colombia
14,"Colombiana, Mer Local",consultoría y servicios de desarrollo de software a la medida,2 - 5,Frontend Developer,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Javascript,TypeScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,ningúno,si,no,si,bachiller,Sí,https://platzi.com/,1,pesos,42000000.0,0,21000000,mi empleador,mi empleador,no,,,no,0,no,http://colombia-dev.slack.com,Medellin,Colombia,1977,3,ella,no,,100,0,10,0,Desarrollo,11351.4,Básico,42000180.0,5,1,Colombia,Colombia
15,,consultoría y servicios de desarrollo de software a la medida,2 - 5,Senior Front-end,si,80 - 90%,0 - 10%,30 - 40%,10 - 20%,2+ años,5 - 10 años,Javascript,"Dart, Elm, PHP, Python, Rust, TypeScript",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,técnico,no,no,no,bachiller,No,,1,pesos,64800000.0,0,0,mi empleador,mi empleador,si - stock options,,,si,30000000,no,,Envigado,Colombia,1990,0,él,no,,90,20,40,10,Desarrollo,17513.5,Básico,64799950.0,5,1,Colombia,Colombia
16,"Colombiana, Mer Local","servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",1,Coordinador Técnico,no,50 - 60%,no tengo responsabilidades de este tipo,40 - 50%,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,Javascript,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,,1,pesos,12000000.0,1000000,15000000,mi empleador,mi empleador,no,,,no,0,no,https://www.perfiltic.com/,Armenia,Colombia,1987,0,él,no,,60,0,50,0,Desarrollo,3243.2,Básico,11999840.0,1,1,Colombia,Colombia
17,Freelancer,soy independiente,soy independiente,Independiente,no,90 - 100%,30 - 40%,30 - 40%,30 - 40%,5 - 10 años,10 - 15 años,Php,"C, C++, Java, JavaScript, Python, TypeScript",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,si,si,maestria,Sí,,2,pesos,44000000.0,5000000,40000000,yo,yo,no,,,soy independiente,250000000,si,https://www.indeed.com,Armenia,Colombia,1980,0,él,Afrocolombiano o Afrodescendiente,,100,40,40,40,Desarrollo,11891.9,Intermedio,44000030.0,6,1,Colombia,Colombia
